"","year","area","gear","effort","fleet","area.n","gear.n","licenses"
"32",1999,"H","Troll",0.589041095890411,NA,8,2,120
"33",2000,"A","Seine",5.14520547945205,NA,1,1,108
"34",2000,"B","Seine",1.56986301369863,NA,2,1,168
"35",2000,"C","Gillnet",33.4602739726027,NA,3,3,715
"36",2000,"D","Gillnet",6.04109589041096,NA,4,3,284
"37",2000,"E","Gillnet",7.36164383561644,NA,5,3,403
"38",2000,"F","Troll",2.47123287671233,NA,6,2,147
"39",2000,"G","Troll",6.46027397260274,NA,7,2,239
"40",2000,"H","Troll",3.45753424657534,NA,8,2,155
"41",2001,"A","Seine",4.74794520547945,NA,1,1,109
"42",2001,"B","Seine",1.5041095890411,NA,2,1,167
"43",2001,"C","Gillnet",35.6547945205479,NA,3,3,714
"44",2001,"D","Gillnet",7.04109589041096,NA,4,3,283
"45",2001,"E","Gillnet",2.50684931506849,NA,5,3,406
"46",2001,"F","Troll",4.37808219178082,NA,6,2,143
"47",2001,"G","Troll",8.03835616438356,NA,7,2,239
"48",2001,"H","Troll",2.94794520547945,NA,8,2,156
"49",2002,"A","Seine",4.29315068493151,NA,1,1,109
"50",2002,"B","Seine",2.72328767123288,NA,2,1,167
"51",2002,"C","Gillnet",35.0356164383562,NA,3,3,713
"52",2002,"D","Gillnet",8.7041095890411,NA,4,3,286
"53",2002,"E","Gillnet",6.55068493150685,NA,5,3,406
"54",2002,"F","Troll",12.0657534246575,NA,6,2,150
"55",2002,"G","Troll",12.9671232876712,NA,7,2,236
"56",2002,"H","Troll",3.60547945205479,NA,8,2,152
"57",2003,"A","Seine",3.46575342465753,NA,1,1,109
"58",2003,"B","Seine",2.1972602739726,NA,2,1,167
"59",2003,"C","Gillnet",33.1506849315069,NA,3,3,713
"60",2003,"D","Gillnet",12.5123287671233,NA,4,3,287
"61",2003,"E","Gillnet",4.94794520547945,NA,5,3,405
"62",2003,"F","Troll",14.1890410958904,NA,6,2,155
"63",2003,"G","Troll",9.47397260273973,NA,7,2,232
"64",2003,"H","Troll",5.43013698630137,NA,8,2,151
"65",2004,"A","Seine",4.30958904109589,NA,1,1,109
"66",2004,"B","Seine",1.77260273972603,NA,2,1,166
"67",2004,"C","Gillnet",33.2821917808219,NA,3,3,718
"68",2004,"D","Gillnet",9.66849315068493,NA,4,3,290
"69",2004,"E","Gillnet",5.66027397260274,NA,5,3,398
"70",2004,"F","Troll",15.0849315068493,NA,6,2,160
"71",2004,"G","Troll",9.26027397260274,NA,7,2,232
"72",2004,"H","Troll",4.01095890410959,NA,8,2,146
"73",2005,"A","Seine",3.63287671232877,217,1,1,110
"74",2005,"B","Seine",1.61917808219178,249,2,1,166
"75",2005,"C","Gillnet",22.3917808219178,1152,3,3,721
"76",2005,"D","Gillnet",7.08767123287671,450,4,3,294
"77",2005,"E","Gillnet",3.37260273972603,299,5,3,391
"78",2005,"F","Troll",15.8575342465753,359,6,2,168
"79",2005,"G","Troll",13.3780821917808,509,7,2,227
"80",2005,"H","Troll",2.06575342465753,113,8,2,143
"81",2006,"A","Seine",3.03835616438356,180,1,1,111
"82",2006,"B","Seine",2.04931506849315,323,2,1,165
"83",2006,"C","Gillnet",32.8657534246575,1242,3,3,699
"84",2006,"D","Gillnet",15.5534246575342,788,4,3,331
"85",2006,"E","Gillnet",7.72054794520548,449,5,3,376
"86",2006,"F","Troll",15.5205479452055,394,6,2,246
"87",2006,"G","Troll",13.3315068493151,519,7,2,169
"88",2006,"H","Troll",3.81369863013699,197,8,2,123
"89",2007,"A","Seine",3.75890410958904,256,1,1,108
"90",2007,"B","Seine",0.865753424657534,151,2,1,168
"91",2007,"C","Gillnet",18.1890410958904,1059,3,3,658
"92",2007,"D","Gillnet",6.13150684931507,447,4,3,355
"93",2007,"E","Gillnet",2.84109589041096,353,5,3,393
"94",2007,"F","Troll",12.1972602739726,360,6,2,284
"95",2007,"G","Troll",9.8958904109589,280,7,2,165
"96",2007,"H","Troll",1.2958904109589,69,8,2,89
"97",2008,"A","Seine",1.02739726027397,101,1,1,108
"98",2008,"B","Seine",0.802739726027397,131,2,1,168
"99",2008,"C","Gillnet",12.5068493150685,731,3,3,658
"100",2008,"D","Gillnet",4.94794520547945,396,4,3,355
"101",2008,"E","Gillnet",1.62465753424658,347,5,3,393
"102",2008,"F","Troll",11.7753424657534,307,6,2,284
"103",2008,"G","Troll",9.09041095890411,276,7,2,165
"104",2008,"H","Troll",0.989041095890411,51,8,2,89
"105",2009,"A","Seine",2.54520547945205,152,1,1,108
"106",2009,"B","Seine",1.21095890410959,170,2,1,168
"107",2009,"C","Gillnet",9.34794520547945,707,3,3,658
"108",2009,"D","Gillnet",5.94794520547945,492,4,3,355
"109",2009,"E","Gillnet",1.03287671232877,267,5,3,393
"110",2009,"F","Troll",14.586301369863,364,6,2,284
"111",2009,"G","Troll",7.06575342465753,257,7,2,164
"112",2009,"H","Troll",1.1972602739726,48,8,2,90
"113",2010,"A","Seine",0.205479452054795,50,1,1,108
"114",2010,"B","Seine",2.68493150684932,284,2,1,168
"115",2010,"C","Gillnet",6.21095890410959,594,3,3,654
"116",2010,"D","Gillnet",17.1890410958904,501,4,3,362
"117",2010,"E","Gillnet",8.04657534246575,308,5,3,390
"118",2010,"F","Troll",13.5835616438356,382,6,2,283
"119",2010,"G","Troll",5.7041095890411,243,7,2,165
"120",2010,"H","Troll",3.57260273972603,122,8,2,90
"121",2011,"A","Seine",1.50684931506849,183,1,1,108
"122",2011,"B","Seine",3.92054794520548,295,2,1,168
"123",2011,"C","Gillnet",10.7123287671233,790,3,3,640
"124",2011,"D","Gillnet",12.3698630136986,587,4,3,375
"125",2011,"E","Gillnet",5.33424657534247,371,5,3,391
"126",2011,"F","Troll",9.86301369863014,316,6,2,282
"127",2011,"G","Troll",10.1013698630137,300,7,2,165
"128",2011,"H","Troll",1.58630136986301,60,8,2,91
"129",2012,"A","Seine",1.19178082191781,130,1,1,108
"130",2012,"B","Seine",1.36712328767123,193,2,1,168
"131",2012,"C","Gillnet",11.1945205479452,934,3,3,638
"132",2012,"D","Gillnet",8.03561643835616,522,4,3,378
"133",2012,"E","Gillnet",1.84657534246575,299,5,3,390
"134",2012,"F","Troll",14.9616438356164,395,6,2,266
"135",2012,"G","Troll",4.44657534246575,215,7,2,147
"136",2012,"H","Troll",0.679452054794521,27,8,2,83
"137",2013,"A","Seine",2.48493150684931,161,1,1,108
"138",2013,"B","Seine",1.72602739726027,203,2,1,168
"139",2013,"C","Gillnet",12.4356164383562,649,3,3,633
"140",2013,"D","Gillnet",5.12602739726027,412,4,3,377
"141",2013,"E","Gillnet",1.07123287671233,273,5,3,387
"142",2013,"F","Troll",14.0684931506849,385,6,2,241
"143",2013,"G","Troll",3.51232876712329,214,7,2,124
"144",2013,"H","Troll",0.558904109589041,18,8,2,74
"145",2014,"A","Seine",1.80547945205479,169,1,1,107
"146",2014,"B","Seine",3.72602739726027,290,2,1,168
"147",2014,"C","Gillnet",14.627397260274,742,3,3,629
"148",2014,"D","Gillnet",28.4109589041096,599,4,3,379
"149",2014,"E","Gillnet",9.19452054794521,389,5,3,392
"150",2014,"F","Troll",14.0849315068493,327,6,2,230
"151",2014,"G","Troll",9.24657534246575,276,7,2,120
"152",2014,"H","Troll",2.85479452054795,89,8,2,76
"153",2015,"A","Seine",1.78082191780822,186,1,1,107
"154",2015,"B","Seine",1.1972602739726,254,2,1,167
"155",2015,"C","Gillnet",13.772602739726,778,3,3,627
"156",2015,"D","Gillnet",7.46849315068493,495,4,3,379
"157",2015,"E","Gillnet",2.7041095890411,447,5,3,390
"158",2015,"F","Troll",10.0547945205479,299,6,2,238
"159",2015,"G","Troll",6.24931506849315,199,7,2,119
"160",2015,"H","Troll",0.693150684931507,29,8,2,77
"161",2016,"A","Seine",1.6027397260274,184,1,1,108
"162",2016,"B","Seine",2.59452054794521,349,2,1,168
"163",2016,"C","Gillnet",12.1178082191781,958,3,3,630
"164",2016,"D","Gillnet",8.76712328767123,539,4,3,383
"165",2016,"E","Gillnet",5.35068493150685,496,5,3,388
"166",2016,"F","Troll",14.3013698630137,350,6,2,238
"167",2016,"G","Troll",6.83561643835616,207,7,2,117
"168",2016,"H","Troll",0.676712328767123,20,8,2,77
"169",2017,"A","Seine",1.22191780821918,94,1,1,107
"170",2017,"B","Seine",1.35342465753425,223,2,1,169
"171",2017,"C","Gillnet",7.33424657534247,489,3,3,626
"172",2017,"D","Gillnet",5.81095890410959,475,4,3,385
"173",2017,"E","Gillnet",6.68767123287671,532,5,3,389
"174",2017,"F","Troll",14.7095890410959,347,6,2,241
"175",2017,"G","Troll",5.49315068493151,155,7,2,113
"176",2017,"H","Troll",0.671232876712329,24,8,2,78
"177",2018,"A","Seine",1.05479452054795,95,1,1,107
"178",2018,"B","Seine",2.14246575342466,223,2,1,169
"179",2018,"C","Gillnet",6.50958904109589,496,3,3,627
"180",2018,"D","Gillnet",16.441095890411,589,4,3,385
"181",2018,"E","Gillnet",7.84383561643836,663,5,3,388
"182",2018,"F","Troll",11.4328767123288,276,6,2,233
"183",2018,"G","Troll",4.45205479452055,172,7,2,111
"184",2018,"H","Troll",2.06575342465753,76,8,2,78
"185",2019,"A","Seine",0.306849315068493,66,1,1,107
"186",2019,"B","Seine",0.112328767123288,10,2,1,168
"187",2019,"C","Gillnet",3.8958904109589,360,3,3,622
"188",2019,"D","Gillnet",2.11780821917808,232,4,3,373
"189",2019,"E","Gillnet",NA,NA,5,3,385
"190",2019,"F","Troll",10.0986301369863,300,6,2,235
"191",2019,"G","Troll",1.7041095890411,112,7,2,102
"192",2019,"H","Troll",NA,NA,8,2,75
"193",2020,"A","Seine",0.846575342465753,65,1,1,107
"194",2020,"B","Seine",0.504109589041096,101,2,1,169
"195",2020,"C","Gillnet",1.74520547945205,286,3,3,627
"196",2020,"D","Gillnet",3.27945205479452,395,4,3,375
"197",2020,"E","Gillnet",1.55342465753425,211,5,3,385
"198",2020,"F","Troll",7.73698630136986,255,6,2,217
"199",2020,"G","Troll",2.24931506849315,101,7,2,91
"200",2020,"H","Troll",0.391780821917808,18,8,2,68
"201",2021,"A","Seine",0.197260273972603,23,1,1,106
"202",2021,"B","Seine",0.134246575342466,20,2,1,169
"203",2021,"C","Gillnet",0.443835616438356,49,3,3,627
"204",2021,"D","Gillnet",2.53150684931507,229,4,3,374
"205",2021,"E","Gillnet",NA,NA,5,3,383
"206",2021,"F","Troll",7.52328767123288,208,6,2,217
"207",2021,"G","Troll",2.23287671232877,81,7,2,89
"208",2021,"H","Troll",0.00273972602739726,1,8,2,68
"209",2022,"A","Seine",0.50958904109589,31,1,1,106
"210",2022,"B","Seine",0.715068493150685,105,2,1,168
"211",2022,"C","Gillnet",5.15342465753425,182,3,3,623
"212",2022,"D","Gillnet",3.27123287671233,148,4,3,373
"213",2022,"E","Gillnet",0.441095890410959,70,5,3,381
"214",2022,"F","Troll",6.39178082191781,173,6,2,217
"215",2022,"G","Troll",1.62739726027397,82,7,2,89
"216",2022,"H","Troll",0.389041095890411,29,8,2,68
"217",2023,"A","Seine",0.454794520547945,48,1,1,94
"218",2023,"B","Seine",0.391780821917808,31,2,1,153
"219",2023,"C","Gillnet",5.08767123287671,247,3,3,545
"220",2023,"D","Gillnet",2.28493150684931,115,4,3,351
"221",2023,"E","Gillnet",NA,NA,5,3,343
"222",2023,"F","Troll",6.94246575342466,190,6,2,197
"223",2023,"G","Troll",1.49041095890411,88,7,2,80
"224",2023,"H","Troll",0.0410958904109589,3,8,2,59
