year,area,species,gear,effort,catch,fleet,area.n,gear.n,species.n,harvest,licenses,landed.value,wholesale.value,abundance
1996,E,Coho,Gillnet,4.632876712328767,613,NA,5,3,3,NA,NA,NA,NA,12514
1996,E,Pink,Gillnet,4.632876712328767,29,NA,5,3,5,NA,NA,NA,NA,2603412
1996,E,Sockeye,Gillnet,4.632876712328767,704590,NA,5,3,1,NA,NA,NA,NA,2538373
1996,F,Chinook,Troll,21.578082191780823,8,NA,6,2,2,NA,NA,NA,NA,234810.68601781968
1996,F,Chum,Troll,21.578082191780823,26779,NA,6,2,4,NA,NA,NA,NA,1564060
1996,F,Coho,Troll,21.578082191780823,333136,NA,6,2,3,NA,NA,NA,NA,426261
1996,F,Pink,Troll,21.578082191780823,770263,NA,6,2,5,NA,NA,NA,NA,19013264
1996,F,Sockeye,Troll,21.578082191780823,22782,NA,6,2,1,NA,NA,NA,NA,977230
1996,G,Chinook,Troll,35.33972602739726,4,NA,7,2,2,NA,NA,NA,NA,217280
1996,G,Chum,Troll,35.33972602739726,4592,NA,7,2,4,NA,NA,NA,NA,866013
1996,G,Coho,Troll,35.33972602739726,792805,NA,7,2,3,NA,NA,NA,NA,12514
1996,G,Pink,Troll,35.33972602739726,14242,NA,7,2,5,NA,NA,NA,NA,2603412
1996,G,Sockeye,Troll,35.33972602739726,809,NA,7,2,1,NA,NA,NA,NA,2538373
1996,H,Chinook,Troll,0.8821917808219178,0,NA,8,2,2,NA,NA,NA,NA,217280
1996,H,Chum,Troll,0.8821917808219178,44,NA,8,2,4,NA,NA,NA,NA,866013
1996,H,Coho,Troll,0.8821917808219178,723,NA,8,2,3,NA,NA,NA,NA,12514
1996,H,Pink,Troll,0.8821917808219178,8688,NA,8,2,5,NA,NA,NA,NA,2603412
1996,H,Sockeye,Troll,0.8821917808219178,35761,NA,8,2,1,NA,NA,NA,NA,2538373
1997,A,Chinook,Seine,5.917808219178082,2965,NA,1,1,2,0.025417147813283174,NA,0.08671732783355436,0.11512472833075321,191366.00783606118
1997,A,Chum,Seine,5.917808219178082,243357,NA,1,1,4,1.137909556543284,NA,0.8501623123599249,4.721670688645122,1306566
1997,A,Coho,Seine,5.917808219178082,13081,NA,1,1,3,0.047108606206840674,NA,0.10599436396539151,0.42397745586156604,288737
1997,A,Pink,Seine,5.917808219178082,1586784,NA,1,1,5,2.9764549543378678,NA,1.6102133359532727,10.978727290590497,4769597
1997,A,Sockeye,Seine,5.917808219178082,763878,NA,1,1,1,1.811998895142829,NA,6.374225362360149,15.011658830906597,1184709
1997,B,Chinook,Seine,9.331506849315069,119,NA,2,1,2,0.001020114870077807,NA,0.003480391909677224,0.004620520293881832,288010
1997,B,Chum,Seine,9.331506849315069,902232,NA,2,1,4,4.218733856100956,NA,3.1519275936386455,17.505320943131554,1334171
1997,B,Coho,Seine,9.331506849315069,1001,NA,2,1,3,0.0036049013693943512,NA,0.00811102808113729,0.03244411232454916,21916
1997,B,Pink,Seine,9.331506849315069,3162435,NA,2,1,5,5.932026869140018,NA,3.209129289862633,21.880426976336135,3388363
1997,B,Sockeye,Seine,9.331506849315069,4177157,NA,2,1,1,9.908655398948698,NA,34.85653480262585,82.08909769247617,4664269
1997,C,Chinook,Gillnet,42.087671232876716,21515,NA,3,3,2,0.1844350540312943,NA,0.6292490078714746,0.8353823035535094,191366.00783606118
1997,C,Chum,Gillnet,42.087671232876716,342813,NA,3,3,4,1.6029544611713362,NA,1.1976096548981248,6.651339775664971,1306566
1997,C,Coho,Gillnet,42.087671232876716,33501,NA,3,3,3,0.1206471536224577,NA,0.27145609565052986,1.0858243826021194,288737
1997,C,Pink,Gillnet,42.087671232876716,454745,NA,3,3,5,0.8530007916706833,NA,0.4614594446743041,3.146314395506619,4769597
1997,C,Sockeye,Gillnet,42.087671232876716,1415181,NA,3,3,1,3.356958059306753,NA,11.809061947758932,27.81100431741879,1184709
1997,D,Chinook,Gillnet,17.46027397260274,965,NA,4,3,2,0.008272360080883057,NA,0.028223346158306902,0.037468925072235024,288010
1997,D,Chum,Gillnet,17.46027397260274,92990,NA,4,3,4,0.43481062662245173,NA,0.3248585141432111,1.8042142093184492,1334171
1997,D,Coho,Gillnet,17.46027397260274,5217,NA,4,3,3,0.018787982461668663,NA,0.04227296053875449,0.16909184215501796,21916
1997,D,Pink,Gillnet,17.46027397260274,76537,NA,4,3,5,0.14356644183465259,NA,0.07766709148432026,0.5295483510294563,3388363
1997,D,Sockeye,Gillnet,17.46027397260274,939492,NA,4,3,1,2.2285737591546377,NA,7.839646820741612,18.462808692443165,4664269
1997,E,Chinook,Gillnet,5.701369863013699,24402,NA,5,3,2,0.20918355512301384,NA,0.7136850704196943,0.9474784555571804,288010
1997,E,Chum,Gillnet,5.701369863013699,232500,NA,5,3,4,1.087143463702764,NA,0.8122336223066629,4.511020579272389,1334171
1997,E,Coho,Gillnet,5.701369863013699,444,NA,5,3,3,0.0015989772307803117,NA,0.003597698769255701,0.014390795077022804,21916
1997,E,Pink,Gillnet,5.701369863013699,163165,NA,5,3,5,0.30606136224245906,NA,0.16557417957378934,1.1289148607303818,3388363
1997,E,Sockeye,Gillnet,5.701369863013699,1296737,NA,5,3,1,3.0759964435300224,NA,10.8206989515483,25.483353935331728,4664269
1997,F,Chinook,Troll,30.56164383561644,93658,NA,6,2,2,0.8028732647205652,NA,2.7392146678701637,3.636543610793148,191366.00783606118
1997,F,Chum,Troll,30.56164383561644,43057,NA,6,2,4,0.20132961770602112,NA,0.15041867989530316,0.8354022068031453,1306566
1997,F,Coho,Troll,30.56164383561644,167675,NA,6,2,3,0.6038479891240738,NA,1.3586579755291661,5.4346319021166645,288737
1997,F,Pink,Troll,30.56164383561644,326142,NA,6,2,5,0.6117700781692158,NA,0.33095758327187086,2.256528976853665,4769597
1997,F,Sockeye,Troll,30.56164383561644,247687,NA,6,2,1,0.5875395944656632,NA,2.0668388896222933,4.867521699604862,1184709
1997,G,Chinook,Troll,2.786301369863014,52809,NA,7,2,2,0.45269954768015896,NA,1.5445043391440718,2.0504626571395437,288010
1997,G,Chum,Troll,2.786301369863014,1953,NA,7,2,4,0.009132005095103217,NA,0.0068227624273759675,0.03789257286588807,1334171
1997,G,Coho,Troll,2.786301369863014,478,NA,7,2,3,0.0017214214331373627,NA,0.003873198224559066,0.015492792898236263,21916
1997,G,Pink,Troll,2.786301369863014,483782,NA,7,2,5,0.9074677654422293,NA,0.4909251845835011,3.3472171676147804,3388363
1997,G,Sockeye,Troll,2.786301369863014,1091814,NA,7,2,1,2.5898975513124776,NA,9.110706801059703,21.456226353956335,4664269
1997,H,Chinook,Troll,3.452054794520548,1878,NA,8,2,2,0.01609895568072371,NA,0.05492584879305737,0.07291879925974858,288010
1997,H,Chum,Troll,3.452054794520548,1708,NA,8,2,4,0.0079864130580831,NA,0.005966860330751743,0.033139024298482755,1334171
1997,H,Coho,Troll,3.452054794520548,745,NA,8,2,3,0.002682968551647145,NA,0.006036679241206076,0.024146716964824302,21916
1997,H,Pink,Troll,3.452054794520548,250377,NA,8,2,5,0.46965173716287306,NA,0.25407389059630836,1.7323219813384663,3388363
1997,H,Sockeye,Troll,3.452054794520548,733686,NA,8,2,1,1.7403802981389194,NA,6.122286424283155,14.418328477862351,4664269
1998,A,Chinook,Seine,4.86027397260274,549,NA,1,1,2,0.005118744755384472,135,0.020109354396153283,0.03363746553538367,152111.29627040483
1998,A,Chum,Seine,4.86027397260274,852860,NA,1,1,4,3.5784217460855277,135,2.30169840954245,10.285714767642824,3351672
1998,A,Coho,Seine,4.86027397260274,994,NA,1,1,3,0.0936852026390198,135,0.0936852026390198,6.089538171536287,1173927
1998,A,Pink,Seine,4.86027397260274,2118701,NA,1,1,5,3.422301131774765,135,2.457036709992139,51.51001959876377,6575804
1998,A,Sockeye,Seine,4.86027397260274,62419,NA,1,1,1,0.19438249038428068,135,1.2539576340476146,2.896680248863791,769487
1998,B,Chinook,Seine,3.3753424657534246,208,NA,2,1,2,0.0019393422752640621,224,0.007618844652823102,0.01274424923744955,482630
1998,B,Chum,Seine,3.3753424657534246,2650106,NA,2,1,4,11.119289144562687,224,7.152105580422232,31.960971812511847,2640312
1998,B,Coho,Seine,3.3753424657534246,0,NA,2,1,3,0,224,0,0,28197
1998,B,Pink,Seine,3.3753424657534246,44251,NA,2,1,5,0.07147787601089778,224,0.05131744944372148,1.0758336722665895,2293370
1998,B,Sockeye,Seine,3.3753424657534246,433513,NA,2,1,1,1.3500270198811368,224,8.708997834135177,20.11804970803263,5001329
1998,C,Chinook,Gillnet,19.561643835616437,11053,NA,3,3,2,0.10305552965621961,875,0.40486100936371994,0.677222052026586,152111.29627040483
1998,C,Chum,Gillnet,19.561643835616437,689443,NA,3,3,4,2.8927582767235474,875,1.8606686403045936,8.314862986361153,3351672
1998,C,Coho,Gillnet,19.561643835616437,3,NA,3,3,3,2.827521206409048e-4,875,2.827521206409048e-4,0.018378887841658812,1173927
1998,C,Pink,Gillnet,19.561643835616437,173090,NA,3,3,5,0.27958928744494577,875,0.2007307704732944,4.208177223850851,6575804
1998,C,Sockeye,Gillnet,19.561643835616437,245444,NA,3,3,1,0.7643508542251461,875,4.930812373334766,11.390326455119826,769487
1998,D,Chinook,Gillnet,6.375342465753425,252,NA,4,3,2,0.002349587756569921,319,0.009230523329381833,0.015440148114602339,482630
1998,D,Chum,Gillnet,6.375342465753425,246040,NA,4,3,4,1.0323322543053763,319,0.6640127062868753,2.9673067812194738,2640312
1998,D,Coho,Gillnet,6.375342465753425,0,NA,4,3,3,0,319,0,0,28197
1998,D,Pink,Gillnet,6.375342465753425,12136,NA,4,3,5,0.019603071190894113,319,0.014073999829359874,0.2950513535655088,2293370
1998,D,Sockeye,Gillnet,6.375342465753425,219989,NA,4,3,1,0.6850800185383862,319,4.419437766649589,10.209035570375951,5001329
1998,E,Chinook,Gillnet,4.7534246575342465,4815,NA,5,3,2,0.04489390892017528,577,0.17636892790068862,0.2950171157611518,482630
1998,E,Chum,Gillnet,4.7534246575342465,177563,NA,5,3,4,0.7450171194571026,577,0.47920699140959366,2.1414562428616217,2640312
1998,E,Coho,Gillnet,4.7534246575342465,64,NA,5,3,3,0.006032045240339303,577,0.006032045240339303,0.3920829406220547,28197
1998,E,Pink,Gillnet,4.7534246575342465,481,NA,5,3,5,7.769509923220228e-4,577,5.578109688465805e-4,0.011694108525462241,2293370
1998,E,Sockeye,Gillnet,4.7534246575342465,261460,NA,5,3,1,0.8142271733906989,577,5.252563530304705,12.133581407390809,5001329
1998,F,Chinook,Troll,16.663013698630138,119334,NA,6,2,2,1.112641687867123,240,4.371092345192269,7.311645377412522,152111.29627040483
1998,F,Chum,Troll,16.663013698630138,9717,NA,6,2,4,0.04077049469633125,240,0.026224237794625127,0.11718956264473104,3351672
1998,F,Coho,Troll,16.663013698630138,0,NA,6,2,3,0,240,0,0,1173927
1998,F,Pink,Troll,16.663013698630138,30318,NA,6,2,5,0.04897214175721224,240,0.0351594863897934,0.7370935182431688,6575804
1998,F,Sockeye,Troll,16.663013698630138,82315,NA,6,2,1,0.25634173402300686,240,1.653655499873907,3.819994467793828,769487
1998,G,Chinook,Troll,6.6136986301369864,13301,NA,7,2,2,0.12401534424657351,335,0.48720313811153887,0.8149579764774831,482630
1998,G,Chum,Troll,6.6136986301369864,860,NA,7,2,4,0.0036083796890856107,335,0.0023209678402158706,0.010371825035964672,2640312
1998,G,Coho,Troll,6.6136986301369864,0,NA,7,2,3,0,335,0,0,28197
1998,G,Pink,Troll,6.6136986301369864,16879,NA,7,2,5,0.027264357171316887,335,0.019574410276842893,0.41036352973238494,2293370
1998,G,Sockeye,Troll,6.6136986301369864,207115,NA,7,2,1,0.6449883768714701,335,4.160807372366935,9.61159149847681,5001329
1998,H,Chinook,Troll,3.345205479452055,642,NA,8,2,2,0.005985854522690038,176,0.023515857053425147,0.03933561543482025,482630
1998,H,Chum,Troll,3.345205479452055,116260,NA,8,2,4,0.48780258448034075,176,0.3137624663994152,1.4021260217223868,2640312
1998,H,Coho,Troll,3.345205479452055,0,NA,8,2,3,0,176,0,0,28197
1998,H,Pink,Troll,3.345205479452055,18582,NA,8,2,5,0.03001518365764621,176,0.021549362626002405,0.45176699505226475,2293370
1998,H,Sockeye,Troll,3.345205479452055,125428,NA,8,2,1,0.39060233268587385,176,2.519767989287304,5.820740643946356,5001329
1999,A,Chinook,Seine,6.002739726027397,15,NA,1,1,2,1.0272653340752473e-4,108,5.264734837135642e-4,8.474939006120789e-4,136158.43035401654
1999,A,Chum,Seine,6.002739726027397,416226,NA,1,1,4,2.254728295668397,108,1.8488772024480853,18.578961156307592,1574583
1999,A,Coho,Seine,6.002739726027397,1100,NA,1,1,3,0.025235145675613677,108,0.025235145675613677,1.463638449185593,849113
1999,A,Pink,Seine,6.002739726027397,5550537,NA,1,1,5,8.726170467968744,108,5.235702280781247,48.86655462062497,6448695
1999,A,Sockeye,Seine,6.002739726027397,96594,NA,1,1,1,0.2981989278554203,108,2.175098062004242,11.068442557457072,737602
1999,C,Chinook,Gillnet,23.53150684931507,12989,NA,3,3,2,0.08895432949535591,730,0.45589093866369895,0.7338732183366862,136158.43035401654
1999,C,Chum,Gillnet,23.53150684931507,255482,NA,3,3,4,1.3839656687327397,730,1.1348518483608465,11.403877110357776,1574583
1999,C,Coho,Gillnet,23.53150684931507,2280,NA,3,3,3,0.05230557467309016,730,0.05230557467309016,3.033723331039229,849113
1999,C,Pink,Gillnet,23.53150684931507,457369,NA,3,3,5,0.719043916068733,730,0.43142634964123977,4.0266459299849044,6448695
1999,C,Sockeye,Gillnet,23.53150684931507,343488,NA,3,3,1,1.0603945724496615,730,7.734642763750473,39.359351483278616,737602
1999,D,Chinook,Gillnet,5.405479452054794,198,NA,4,3,2,0.0013559902409793264,250,0.006949449985019046,0.011186919488079441,325194
1999,D,Chum,Gillnet,5.405479452054794,89948,NA,4,3,4,0.4872552429179844,250,0.3995492991927472,4.014983201644192,1077228
1999,D,Coho,Gillnet,5.405479452054794,35,NA,4,3,3,8.029364533149805e-4,250,8.029364533149805e-4,0.04657031429226886,24616
1999,D,Pink,Gillnet,5.405479452054794,1336,NA,4,3,5,0.0021003668194998506,250,0.0012602200916999103,0.011762054189199164,4874708
1999,D,Sockeye,Gillnet,5.405479452054794,88605,NA,4,3,1,0.2735357889996223,250,1.9952022256443038,10.153004874044804,2275178
1999,E,Chinook,Gillnet,5.994520547945205,46,NA,5,3,2,3.1502803578307585e-4,425,0.0016145186833882634,0.0025989812952103755,325194
1999,E,Chum,Gillnet,5.994520547945205,157647,NA,5,3,4,0.8539859394349123,425,0.700268470336628,7.0368441409436775,1077228
1999,E,Coho,Gillnet,5.994520547945205,80,NA,5,3,3,0.0018352833218628125,425,0.0018352833218628125,0.10644643266804313,24616
1999,E,Pink,Gillnet,5.994520547945205,62,NA,5,3,5,9.747211288098108e-5,425,5.848326772858865e-5,5.458438321334941e-4,4874708
1999,E,Sockeye,Gillnet,5.994520547945205,1,NA,5,3,1,3.087137170584304e-6,425,2.251794171485022e-5,1.145872679199233e-4,2275178
1999,F,Chinook,Troll,5.273972602739726,46973,NA,6,2,2,0.3216915635834439,172,1.6486692633651499,2.653955399563412,136158.43035401654
1999,F,Chum,Troll,5.273972602739726,1872,NA,6,2,4,0.010140768163188362,172,0.008315429893814456,0.0835599296646721,1574583
1999,F,Coho,Troll,5.273972602739726,864,NA,6,2,3,0.019821059876118378,172,0.019821059876118378,1.149621472814866,849113
1999,F,Pink,Troll,5.273972602739726,31013,NA,6,2,5,0.048756494141578496,172,0.029253896484947098,0.2730363671928396,6448695
1999,F,Sockeye,Troll,5.273972602739726,0,NA,6,2,1,0,172,0,0,737602
1999,G,Chinook,Troll,4.235616438356164,56280,NA,7,2,2,0.38542995334503277,251,1.9753285108932928,3.17979711509652,325194
1999,G,Chum,Troll,4.235616438356164,1707,NA,7,2,4,0.00924695045649708,251,0.007582499374327605,0.07619487176153594,1077228
1999,G,Coho,Troll,4.235616438356164,0,NA,7,2,3,0,251,0,0,24616
1999,G,Pink,Troll,4.235616438356164,30,NA,7,2,5,4.7163925587571495e-5,251,2.82983553525429e-5,2.641179832904004e-4,4874708
1999,G,Sockeye,Troll,4.235616438356164,9477,NA,7,2,1,0.02925679896562745,251,0.21340253363163553,1.085943538077113,2275178
1999,H,Chinook,Troll,0.589041095890411,314,NA,8,2,2,0.0021504087659975175,120,0.011020844925737275,0.017740872319479517,325194
1999,H,Chum,Troll,0.589041095890411,125,NA,8,2,4,6.77134626281274e-4,120,5.552503935506447e-4,0.005579589320557699,1077228
1999,H,Coho,Troll,0.589041095890411,0,NA,8,2,3,0,120,0,0,24616
1999,H,Pink,Troll,0.589041095890411,2407,NA,8,2,5,0.0037841189629761528,120,0.0022704713777856917,0.021191066192666457,4874708
1999,H,Sockeye,Troll,0.589041095890411,12507,NA,8,2,1,0.03861082459249789,120,0.2816318970276317,1.4331429598744807,2275178
2000,A,Chinook,Seine,5.145205479452055,3,NA,1,1,2,2.0666565630123585e-5,108,1.1573276752869207e-4,2.1906559567931e-4,182484.01204430038
2000,A,Chum,Seine,5.145205479452055,129149,NA,1,1,4,0.692835547517138,108,0.8413003076993819,8.536723710479022,1379500
2000,A,Coho,Seine,5.145205479452055,1191,NA,1,1,3,0.012046121169212097,108,0.012046121169212097,1.0721047840598767,773065
2000,A,Pink,Seine,5.145205479452055,2626282,NA,1,1,5,4.164339876521015,108,2.756675692908278,21.40822612577705,10989288
2000,A,Sockeye,Seine,5.145205479452055,820072,NA,1,1,1,2.1059301653901277,108,9.786381356812948,28.021259024190993,692254
2000,B,Chinook,Seine,1.56986301369863,55,NA,2,1,2,3.788870365522657e-4,168,0.002121767404692688,0.004016202587454017,267959
2000,B,Chum,Seine,1.56986301369863,157463,NA,2,1,4,0.8447294506244036,168,1.0257429043296329,10.408273588050688,781623
2000,B,Coho,Seine,1.56986301369863,284,NA,2,1,3,0.0028724587842621626,168,0.0028724587842621626,0.25564883179933245,23513
2000,B,Pink,Seine,1.56986301369863,1199079,NA,2,1,5,1.9013085779817025,168,1.2586127206357751,9.774332830469316,5579538
2000,B,Sockeye,Seine,1.56986301369863,280420,NA,2,1,1,0.7201135229329859,168,3.3464099006885815,9.581745816908319,2586981
2000,C,Chinook,Gillnet,33.46027397260274,22911,NA,3,3,2,0.15783056171725382,715,0.8838511456166214,1.6730039542028905,182484.01204430038
2000,C,Chum,Gillnet,33.46027397260274,183577,NA,3,3,4,0.9848211856580665,715,1.1958542968705095,12.134403894715463,1379500
2000,C,Coho,Gillnet,33.46027397260274,2225,NA,3,3,3,0.0225042985738849,715,0.0225042985738849,2.0028825730757562,773065
2000,C,Pink,Gillnet,33.46027397260274,380771,NA,3,3,5,0.6037660308842627,715,0.39967610495155426,3.1038676235599425,10989288
2000,C,Sockeye,Gillnet,33.46027397260274,1548216,NA,3,3,1,3.9757908780444184,715,18.475734080324063,52.90140568315573,692254
2000,D,Chinook,Gillnet,6.041095890410959,19,NA,4,3,2,1.308882489907827e-4,284,7.32974194348383e-4,0.0013874154393022965,267959
2000,D,Chum,Gillnet,6.041095890410959,31479,NA,4,3,4,0.16887293126769845,284,0.20505998796791955,2.080755760262713,781623
2000,D,Coho,Gillnet,6.041095890410959,197,NA,4,3,3,0.001992515424294528,284,0.001992515424294528,0.17733387276221302,23513
2000,D,Pink,Gillnet,6.041095890410959,123893,NA,4,3,5,0.19644979492751274,284,0.13004423044497324,1.0099179598386219,5579538
2000,D,Sockeye,Gillnet,6.041095890410959,164051,NA,4,3,1,0.4212800212205951,284,1.9577130397898244,5.6055024000058005,2586981
2000,E,Chinook,Gillnet,7.361643835616438,4471,NA,5,3,2,0.030800071644094186,403,0.17248040120692743,0.32648075942739835,267959
2000,E,Chum,Gillnet,7.361643835616438,13094,NA,5,3,4,0.07024435852534208,403,0.08529672106648682,0.8655108461158222,781623
2000,E,Coho,Gillnet,7.361643835616438,232,NA,5,3,3,0.0023465156265803583,403,0.0023465156265803583,0.20883989076565188,23513
2000,E,Pink,Gillnet,7.361643835616438,30,NA,5,3,5,4.756922382883119e-5,403,3.148948619655023e-5,2.44546009824273e-4,5579538
2000,E,Sockeye,Gillnet,7.361643835616438,403234,NA,5,3,1,1.0354976688765412,403,4.8120185788968675,13.778210158816094,2586981
2000,F,Chinook,Troll,2.4712328767123286,9948,NA,6,2,2,0.06853033162948981,147,0.3837698571251429,0.7264215152725919,182484.01204430038
2000,F,Chum,Troll,2.4712328767123286,4864,NA,6,2,4,0.026093520686365047,147,0.03168498940487184,0.32150945131414077,1379500
2000,F,Coho,Troll,2.4712328767123286,5739,NA,6,2,3,0.05804591888338222,147,0.05804591888338222,5.166086780621018,773065
2000,F,Pink,Troll,2.4712328767123286,66334,NA,6,2,5,0.10518189644872293,147,0.0696274525787321,0.5407238338561109,10989288
2000,F,Sockeye,Troll,2.4712328767123286,1163,NA,6,2,1,0.0029865631095180893,147,0.013878734450113474,0.03973885737488187,692254
2000,G,Chinook,Troll,6.46027397260274,34488,NA,7,2,2,0.23758283848390074,239,1.330463895509844,2.5183780879293476,267959
2000,G,Chum,Troll,6.46027397260274,688,NA,7,2,4,0.0036908598339266347,239,0.004481758369768057,0.04547666581088175,781623
2000,G,Coho,Troll,6.46027397260274,10,NA,7,2,3,1.0114291493880854e-4,239,1.0114291493880854e-4,0.00900171942955396,23513
2000,G,Pink,Troll,6.46027397260274,34246,NA,7,2,5,0.0543018546414051,239,0.03594629814290197,0.27915742174806846,5579538
2000,G,Sockeye,Troll,6.46027397260274,26289,NA,7,2,1,0.0675096797817034,239,0.3137214531032099,0.8982758568600769,2586981
2000,H,Chinook,Troll,3.4575342465753423,686,NA,8,2,2,0.00472575467408826,155,0.026464226174894252,0.05009299954533555,267959
2000,H,Chum,Troll,3.4575342465753423,1624,NA,8,2,4,0.008712145887059382,155,0.01057903429142925,0.10734608325126739,781623
2000,H,Coho,Troll,3.4575342465753423,9,NA,8,2,3,9.102862344492768e-5,155,9.102862344492768e-5,0.008101547486598564,23513
2000,H,Pink,Troll,3.4575342465753423,47050,NA,8,2,5,0.07460439937155025,155,0.049386010851589605,0.3835296587410682,5579538
2000,H,Sockeye,Troll,3.4575342465753423,66547,NA,8,2,1,0.17089150064411032,155,0.7941428559343949,2.273862202688103,2586981
2001,A,Chinook,Seine,4.747945205479452,0,NA,1,1,2,0,109,0,0,265714.59559530683
2001,A,Chum,Seine,4.747945205479452,221840,NA,1,1,4,1.140191586838817,109,1.1205331112036652,5.229154518950438,1513470
2001,A,Coho,Seine,4.747945205479452,2265,NA,1,1,3,0.01954270923209664,109,0.01954270923209664,0.9771354616048318,1434794
2001,A,Pink,Seine,4.747945205479452,4992667,NA,1,1,5,8.202358076930846,109,3.2357926358534526,32.58367933312895,14109534
2001,A,Sockeye,Seine,4.747945205479452,607629,NA,1,1,1,1.7320475986303339,109,5.749435778786802,18.69168033521902,1380063
2001,B,Chinook,Seine,1.5041095890410958,114,NA,2,1,2,7.819849482596425e-4,167,0.00346307619943556,0.005697318908748823,386518
2001,B,Chum,Seine,1.5041095890410958,233652,NA,2,1,4,1.2009017519296037,167,1.1801965493101279,5.507583896780597,1873597
2001,B,Coho,Seine,1.5041095890410958,27,NA,2,1,3,2.3295944779982747e-4,167,2.3295944779982747e-4,0.011647972389991372,62979
2001,B,Pink,Seine,1.5041095890410958,973674,NA,2,1,5,1.5996305778449804,167,0.6310469252049005,6.354495781714462,22453134
2001,B,Sockeye,Seine,1.5041095890410958,74866,NA,2,1,1,0.21340567273625613,167,0.7083882747772946,2.303002884945431,6138584
2001,C,Chinook,Gillnet,35.654794520547945,29135,NA,3,3,2,0.19985203041705865,714,0.8850589918469741,1.4560647930385702,265714.59559530683
2001,C,Chum,Gillnet,35.654794520547945,391311,NA,3,3,4,2.011222097175822,714,1.9765458541210668,9.22388065256498,1513470
2001,C,Coho,Gillnet,35.654794520547945,248,NA,3,3,3,0.0021397756686798966,714,0.0021397756686798966,0.10698878343399483,1434794
2001,C,Pink,Gillnet,35.654794520547945,347893,NA,3,3,5,0.5715468222610686,714,0.22547259960757748,2.2704566425600246,14109534
2001,C,Sockeye,Gillnet,35.654794520547945,1584745,NA,3,3,1,4.517318580402562,714,14.994988065502948,48.749396346844314,1380063
2001,D,Chinook,Gillnet,7.041095890410959,240,NA,4,3,2,0.0016462841015992473,283,0.00729068673565381,0.011994355597365943,386518
2001,D,Chum,Gillnet,7.041095890410959,139134,NA,4,3,4,0.7151073577498738,283,0.7027779205472897,3.279630295887352,1873597
2001,D,Coho,Gillnet,7.041095890410959,50,NA,4,3,3,4.314063848144953e-4,283,4.314063848144953e-4,0.021570319240724764,62979
2001,D,Pink,Gillnet,7.041095890410959,19162,NA,4,3,5,0.03148088696284949,283,0.01241906549910576,0.12505710142122778,22453134
2001,D,Sockeye,Gillnet,7.041095890410959,143914,NA,4,3,1,0.4102271256133033,283,1.3617261530774927,4.427034397243565,6138584
2001,E,Chinook,Gillnet,2.506849315068493,58,NA,5,3,2,3.978519912198181e-4,406,0.0017619159611163375,0.0028986359360301034,386518
2001,E,Chum,Gillnet,2.506849315068493,130263,NA,5,3,4,0.6695130575026362,406,0.6579697289250047,3.0705254016500216,1873597
2001,E,Coho,Gillnet,2.506849315068493,52,NA,5,3,3,4.486626402070751e-4,406,4.486626402070751e-4,0.022433132010353754,62979
